"技能id","技能名","技能定位","技能类型","图标编号","消耗1属性编号","消耗系数a1","消耗系数b1","显示消耗1","消耗2属性编号","消耗系数a2","消耗系数b2","显示消耗2","目标类型","战斗内外使用","魔法入口","技能剧情描述","技能描述","排序","技能描述1","技能描述2","技能描述3","技能描述4","技能描述5","技能描述6","技能描述7","技能升级描述","技能升级描述1","技能升级描述2","技能升级描述3","技能升级描述4","技能升级描述5","技能升级描述6","技能升级描述7","技能等级1","技能等级2","技能等级3","技能等级4","技能等级5","技能等级6","技能等级7"
"130004","生命献祭","生命献祭","牺牲宠物为友方增加魔法","342","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"10","1",,"牺牲宠物为友方增加魔法","献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。","4","献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。","献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。","献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。","献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。","献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。","献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。","献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。","增加加魔效果，永久增加主角的控制抗性","增加加魔效果，永久增加主角的控制抗性","增加加魔效果，永久增加主角的控制抗性","增加加魔效果，永久增加主角的控制抗性","增加加魔效果，永久增加主角的控制抗性","增加加魔效果，永久增加主角的控制抗性","增加加魔效果，永久增加主角的控制抗性","增加加魔效果，永久增加主角的控制抗性","1","200","200","200","200","200","200"
"130005","精准打击","精准打击","狂野不羁的连环射击","345","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"狂野不羁的连环射击","狩猎姿态下，连续打击单个目标多次，使用后结束狩猎状态并虚弱休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","5","狩猎姿态下，连续打击单个目标多次，使用后结束狩猎状态并虚弱休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，连续打击单个目标多次，使用后结束狩猎状态并虚弱休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，连续打击单个目标多次，使用后结束狩猎状态并虚弱休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，连续打击单个目标多次，使用后结束狩猎状态并虚弱休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，连续打击单个目标多次，使用后结束狩猎状态并虚弱休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，连续打击单个目标多次，使用后结束狩猎状态并虚弱休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","狩猎姿态下，连续打击单个目标多次，使用后结束狩猎状态并虚弱休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）","增加使用时的伤害，60级可攻击4次，70级可攻击5次，90级可攻击6次。永久增加主角的生命","增加使用时的伤害，60级可攻击4次，70级可攻击5次，90级可攻击6次。永久增加主角的生命","增加使用时的伤害，60级可攻击4次，70级可攻击5次，90级可攻击6次。永久增加主角的生命","增加使用时的伤害，60级可攻击4次，70级可攻击5次，90级可攻击6次。永久增加主角的生命","增加使用时的伤害，60级可攻击4次，70级可攻击5次，90级可攻击6次。永久增加主角的生命","增加使用时的伤害，60级可攻击4次，70级可攻击5次，90级可攻击6次。永久增加主角的生命","增加使用时的伤害，60级可攻击4次，70级可攻击5次，90级可攻击6次。永久增加主角的生命","增加使用时的伤害，60级可攻击4次，70级可攻击5次，90级可攻击6次。永久增加主角的生命","1","200","200","200","200","200","200"
"130006","不羁之怒","不羁之怒","沃金将狂野不羁的愤怒注入腰带，使其附加愤怒上限","18","-1","0.667","6","消耗：$parameter1$活力","-1","0","0",,"1","1",,"沃金将狂野不羁的愤怒注入腰带，使其附加愤怒上限","制造一张附魔卷轴，该卷轴可给腰带增加愤怒上限","6","制造一张附魔卷轴，该卷轴可给腰带增加愤怒上限","制造一张附魔卷轴，该卷轴可给腰带增加愤怒上限","制造一张附魔卷轴，该卷轴可给腰带增加愤怒上限","制造一张附魔卷轴，该卷轴可给腰带增加愤怒上限","制造一张附魔卷轴，该卷轴可给腰带增加愤怒上限","制造一张附魔卷轴，该卷轴可给腰带增加愤怒上限","制造一张附魔卷轴，该卷轴可给腰带增加愤怒上限","增加附魔附加怒气上限的效果","增加附魔附加怒气上限的效果","增加附魔附加怒气上限的效果","增加附魔附加怒气上限的效果","增加附魔附加怒气上限的效果","增加附魔附加怒气上限的效果","增加附魔附加怒气上限的效果","增加附魔附加怒气上限的效果","1","200","200","200","200","200","200"
"130007","美拉冲击","美拉冲击","猎人史诗技能，猎人的最后底牌，老练的猎人会将它留到最危急的时候是一。“是时候掀开最后的底牌了，而这，将成为你们生命中所见的最后一击！”","302","120","0","120","消耗：$parameter1$愤怒","-1","0","0",,"480","1",,"猎人史诗技能，猎人的最后底牌，老练的猎人会将它留到最危急的时候是一。“是时候掀开最后的底牌了，而这，将成为你们生命中所见的最后一击！”","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","7","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","最多打击2个目标","最多打击3个目标","最多打击4个目标","额外随机打击5个目标","额外随机打击5个目标","额外随机打击5个目标","额外随机打击5个目标","额外随机打击5个目标","1","2","3","4","5","6","7"
"140000","伊瑟之赐","伊瑟之赐","德鲁伊是自然的子民，获得翡翠巨龙伊瑟拉的赐福","167","-1","0","0","无消耗","-1","0","0",,"1","1",,"德鲁伊是自然的子民，获得翡翠巨龙伊瑟拉的赐福","德鲁伊基础技能","1","德鲁伊基础技能","德鲁伊基础技能","德鲁伊基础技能","德鲁伊基础技能","德鲁伊基础技能","德鲁伊基础技能","德鲁伊基础技能","永久增加主角的物理防御","永久增加主角的物理防御","永久增加主角的物理防御","永久增加主角的物理防御","永久增加主角的物理防御","永久增加主角的物理防御","永久增加主角的物理防御","永久增加主角的物理防御","1","200","200","200","200","200","200"
"140001","撕裂横扫","撕裂横扫","德鲁伊能召唤灵魂之熊的神力撕裂敌人。","306","100","0","0","无消耗","-1","0","0",,"480","1",,"德鲁伊能召唤灵魂之熊的神力撕裂敌人。","物理攻击多个目标，将大量物理防御附加到物理攻击上打击目标，使用后虚弱1回合。","2","物理攻击多个目标，将大量物理防御附加到物理攻击上打击目标，使用后虚弱1回合。","物理攻击多个目标，将大量物理防御附加到物理攻击上打击目标，使用后虚弱1回合。","物理攻击多个目标，将大量物理防御附加到物理攻击上打击目标，使用后虚弱1回合。","物理攻击多个目标，将大量物理防御附加到物理攻击上打击目标，使用后虚弱1回合。","物理攻击多个目标，将大量物理防御附加到物理攻击上打击目标，使用后虚弱1回合。","物理攻击多个目标，将大量物理防御附加到物理攻击上打击目标，使用后虚弱1回合。","物理攻击多个目标，将大量物理防御附加到物理攻击上打击目标，使用后虚弱1回合。","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","1","200","200","200","200","200","200"
"140002","绿之潮","绿之潮","德鲁伊精通控制植物的能力，召唤出大量荆棘磨损敌军意志","280","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"德鲁伊精通控制植物的能力，召唤出大量荆棘磨损敌军意志","降低敌方多个目标物理防御","3","降低敌方多个目标物理防御","降低敌方多个目标物理防御","降低敌方多个目标物理防御","降低敌方多个目标物理防御","降低敌方多个目标物理防御","降低敌方多个目标物理防御","降低敌方多个目标物理防御","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合  ","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合  ","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合  ","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合  ","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合  ","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合  ","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合  ","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合  ","1","200","200","200","200","200","200"
"140003","黄昏花蕾","黄昏花蕾","将日月交替之际的黄昏花蕾召唤而来，恢复友军生命和魔法","307","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"4117","1",,"将日月交替之际的黄昏花蕾召唤而来，恢复友军生命和魔法","给己方全体主角增加持续生命和魔法回复，宠物和怪物无效，持续4回合。","4","给己方全体主角增加持续生命和魔法回复，宠物和怪物无效，持续4回合。","给己方全体主角增加持续生命和魔法回复，宠物和怪物无效，持续4回合。","给己方全体主角增加持续生命和魔法回复，宠物和怪物无效，持续4回合。","给己方全体主角增加持续生命和魔法回复，宠物和怪物无效，持续4回合。","给己方全体主角增加持续生命和魔法回复，宠物和怪物无效，持续4回合。","给己方全体主角增加持续生命和魔法回复，宠物和怪物无效，持续4回合。","给己方全体主角增加持续生命和魔法回复，宠物和怪物无效，持续4回合。","增加回复效果，70级可持续5回合。永久增加主角的速度","增加回复效果，70级可持续5回合。永久增加主角的速度","增加回复效果，70级可持续5回合。永久增加主角的速度","增加回复效果，70级可持续5回合。永久增加主角的速度","增加回复效果，70级可持续5回合。永久增加主角的速度","增加回复效果，70级可持续5回合。永久增加主角的速度","增加回复效果，70级可持续5回合。永久增加主角的速度","增加回复效果，70级可持续5回合。永久增加主角的速度","1","200","200","200","200","200","200"
"140004","灵熊爪击","灵熊爪击","德鲁伊能召唤灵熊之神力牵制敌人。","308","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"德鲁伊能召唤灵熊之神力牵制敌人。","物理攻击多个目标，将部分物理防御附加到物理攻击上打击目标并消耗对方魔法，使用后虚弱休息1回合，休息状态下双防降低。","5","物理攻击多个目标，将部分物理防御附加到物理攻击上打击目标并消耗对方魔法，使用后虚弱休息1回合，休息状态下双防降低。","物理攻击多个目标，将部分物理防御附加到物理攻击上打击目标并消耗对方魔法，使用后虚弱休息1回合，休息状态下双防降低。","物理攻击多个目标，将部分物理防御附加到物理攻击上打击目标并消耗对方魔法，使用后虚弱休息1回合，休息状态下双防降低。","物理攻击多个目标，将部分物理防御附加到物理攻击上打击目标并消耗对方魔法，使用后虚弱休息1回合，休息状态下双防降低。","物理攻击多个目标，将部分物理防御附加到物理攻击上打击目标并消耗对方魔法，使用后虚弱休息1回合，休息状态下双防降低。","物理攻击多个目标，将部分物理防御附加到物理攻击上打击目标并消耗对方魔法，使用后虚弱休息1回合，休息状态下双防降低。","物理攻击多个目标，将部分物理防御附加到物理攻击上打击目标并消耗对方魔法，使用后虚弱休息1回合，休息状态下双防降低。","增加使用时的伤害和消耗对方魔法，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标。永久增加主角的控制抗性","1","200","200","200","200","200","200"
"140005","自然之眼","自然之眼","一小部分德鲁伊获得天赋神力，从而看破世界一切虚幻，直指真理。","258","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"4127","1",,"一小部分德鲁伊获得天赋神力，从而看破世界一切虚幻，直指真理。","战斗中提高己方多人控制抗性，并使其可以攻击隐身单位。","6","战斗中提高己方多人控制抗性，并使其可以攻击隐身单位。","战斗中提高己方多人控制抗性，并使其可以攻击隐身单位。","战斗中提高己方多人控制抗性，并使其可以攻击隐身单位。","战斗中提高己方多人控制抗性，并使其可以攻击隐身单位。","战斗中提高己方多人控制抗性，并使其可以攻击隐身单位。","战斗中提高己方多人控制抗性，并使其可以攻击隐身单位。","战斗中提高己方多人控制抗性，并使其可以攻击隐身单位。","增加作用效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。60级可持续4回合，90级可持续5回合。永久增加主角的生命","增加作用效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。60级可持续4回合，90级可持续5回合。永久增加主角的生命","增加作用效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。60级可持续4回合，90级可持续5回合。永久增加主角的生命","增加作用效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。60级可持续4回合，90级可持续5回合。永久增加主角的生命","增加作用效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。60级可持续4回合，90级可持续5回合。永久增加主角的生命","增加作用效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。60级可持续4回合，90级可持续5回合。永久增加主角的生命","增加作用效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。60级可持续4回合，90级可持续5回合。永久增加主角的生命","增加作用效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标。60级可持续4回合，90级可持续5回合。永久增加主角的生命","1","200","200","200","200","200","200"
"140006","自然亲和","自然亲和","伊瑟拉将自然的低语注入鞋子，使其附加法术防御。","247","-1","0.667","6","消耗：$parameter1$活力","-1","0","0",,"1","1",,"伊瑟拉将自然的低语注入鞋子，使其附加法术防御。","制造一张附魔卷轴，给鞋子增加法术防御","7","制造一张附魔卷轴，给鞋子增加法术防御","制造一张附魔卷轴，给鞋子增加法术防御","制造一张附魔卷轴，给鞋子增加法术防御","制造一张附魔卷轴，给鞋子增加法术防御","制造一张附魔卷轴，给鞋子增加法术防御","制造一张附魔卷轴，给鞋子增加法术防御","制造一张附魔卷轴，给鞋子增加法术防御","增加附魔附加法术防御的效果","增加附魔附加法术防御的效果","增加附魔附加法术防御的效果","增加附魔附加法术防御的效果","增加附魔附加法术防御的效果","增加附魔附加法术防御的效果","增加附魔附加法术防御的效果","增加附魔附加法术防御的效果","1","200","200","200","200","200","200"
"140007","纠缠根须","纠缠根须","德鲁伊史诗技能，将生命能量从敌人身边分离，从而使其周围化作末日死域。“从此，世界于其眼中一分为二，一边是鸟语花香之绿林，一边是万劫不复之地狱！”","309","120","0","120","消耗：$parameter1$愤怒","-1","0","0",,"480","1",,"德鲁伊史诗技能，将生命能量从敌人身边分离，从而使其周围化作末日死域。“从此，世界于其眼中一分为二，一边是鸟语花香之绿林，一边是万劫不复之地狱！”","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","8","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","最高减少25%物防","最高减少30%物防","最高减少35%物防","最高减少40%物防","最高减少40%物防","最高减少40%物防","最高减少40%物防","最高减少40%物防","1","2","3","4","5","6","7"
"150000","奥术智慧","奥术智慧","法师是充满智慧的群体，或者说，智慧没有达到一定程度的人无法在奥术上获得高深造诣。","225","-1","0","0","无消耗","-1","0","0",,"1","1",,"法师是充满智慧的群体，或者说，智慧没有达到一定程度的人无法在奥术上获得高深造诣。","法师基础技能","1","法师基础技能","法师基础技能","法师基础技能","法师基础技能","法师基础技能","法师基础技能","法师基础技能","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","1","200","200","200","200","200","200"
"150001","暴风雪","暴风雪","召唤暴风雪，使冰雪凝固成冰雹打击敌方","216","100","2.4","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"召唤暴风雪，使冰雪凝固成冰雹打击敌方","法术打击多个目标","2","法术打击多个目标","法术打击多个目标","法术打击多个目标","法术打击多个目标","法术打击多个目标","法术打击多个目标","法术打击多个目标","增加使用时的伤害，60级可攻击5个目标，70级可攻击6个目标，90级可攻击7个目标","增加使用时的伤害，60级可攻击5个目标，70级可攻击6个目标，90级可攻击7个目标","增加使用时的伤害，60级可攻击5个目标，70级可攻击6个目标，90级可攻击7个目标","增加使用时的伤害，60级可攻击5个目标，70级可攻击6个目标，90级可攻击7个目标","增加使用时的伤害，60级可攻击5个目标，70级可攻击6个目标，90级可攻击7个目标","增加使用时的伤害，60级可攻击5个目标，70级可攻击6个目标，90级可攻击7个目标","增加使用时的伤害，60级可攻击5个目标，70级可攻击6个目标，90级可攻击7个目标","增加使用时的伤害，60级可攻击5个目标，70级可攻击6个目标，90级可攻击7个目标","1","200","200","200","200","200","200"
"150002","奥术冲击","奥术冲击","施法召唤奥术符文，使用奥术能量，冲击对方","215","100","2.4","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"施法召唤奥术符文，使用奥术能量，冲击对方","法术强力打击单个目标","3","法术强力打击单个目标","法术强力打击单个目标","法术强力打击单个目标","法术强力打击单个目标","法术强力打击单个目标","法术强力打击单个目标","法术强力打击单个目标","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","1","200","200","200","200","200","200"
"150003","变形术","变形术","羊羊羊","310","100","2.4","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"羊羊羊","一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。","4","一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。","一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。","一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。","一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。","一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。","一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。","一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。","一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。","增加降低速度效果。永久增加主角的速度","增加降低速度效果。永久增加主角的速度","增加降低速度效果。永久增加主角的速度","增加降低速度效果。永久增加主角的速度","增加降低速度效果。永久增加主角的速度","增加降低速度效果。永久增加主角的速度","增加降低速度效果。永久增加主角的速度","1","200","200","200","200","200","200"
"150004","魔爆术","魔爆术","法师天生对于魔法的亲和可以让他们利用超强的感知能力将敌人体内的魔法引爆，从精神上彻底瓦解敌人","214","100","2.4","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"法术打击敌方全体，消耗目标的魔法","法术打击敌方全体，消耗目标的魔法","5","法术打击敌方全体，消耗目标的魔法","法术打击敌方全体，消耗目标的魔法","法术打击敌方全体，消耗目标的魔法","法术打击敌方全体，消耗目标的魔法","法术打击敌方全体，消耗目标的魔法","法术打击敌方全体，消耗目标的魔法","法术打击敌方全体，消耗目标的魔法","增加使用时的伤害和消耗对方魔法。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法。永久增加主角的控制抗性","增加使用时的伤害和消耗对方魔法。永久增加主角的控制抗性","1","200","200","200","200","200","200"
"150005","冰霜血脉","冰霜血脉","熟练的法师可以暂时冷冻血脉来抵抗疫病和毒药。","311","100","2.4","10","消耗：$parameter1$魔法","-1","0","0",,"4127","1",,"熟练的法师可以暂时冷冻血脉来抵抗疫病和毒药。","解除1至2个友方的中毒状态，并回复生命","6","解除1至2个友方的中毒状态，并回复生命","解除1至2个友方的中毒状态，并回复生命","解除1至2个友方的中毒状态，并回复生命","解除1至2个友方的中毒状态，并回复生命","解除1至2个友方的中毒状态，并回复生命","解除1至2个友方的中毒状态，并回复生命","解除1至2个友方的中毒状态，并回复生命","增加生命回复效果。永久增加主角的法术防御","增加生命回复效果。永久增加主角的法术防御","增加生命回复效果。永久增加主角的法术防御","增加生命回复效果。永久增加主角的法术防御","增加生命回复效果。永久增加主角的法术防御","增加生命回复效果。永久增加主角的法术防御","增加生命回复效果。永久增加主角的法术防御","增加生命回复效果。永久增加主角的法术防御","1","200","200","200","200","200","200"
"150006","魔能武器","魔能武器","凯尔萨斯将狂暴的魔力注入武器，使其附加物理伤害","212","-1","0.667","6","消耗：$parameter1$活力","-1","0","0",,"1","1",,"凯尔萨斯将狂暴的魔力注入武器，使其附加物理伤害","制造一张附魔卷轴，注入武器增加物理伤害","7","制造一张附魔卷轴，注入武器增加物理伤害","制造一张附魔卷轴，注入武器增加物理伤害","制造一张附魔卷轴，注入武器增加物理伤害","制造一张附魔卷轴，注入武器增加物理伤害","制造一张附魔卷轴，注入武器增加物理伤害","制造一张附魔卷轴，注入武器增加物理伤害","制造一张附魔卷轴，注入武器增加物理伤害","增加附魔附加物理伤害的效果","增加附魔附加物理伤害的效果","增加附魔附加物理伤害的效果","增加附魔附加物理伤害的效果","增加附魔附加物理伤害的效果","增加附魔附加物理伤害的效果","增加附魔附加物理伤害的效果","增加附魔附加物理伤害的效果","1","200","200","200","200","200","200"
"150007","烈焰风暴","烈焰风暴","法师史诗技能，召唤虚空中狂乱的风暴，击溃敌人的意志和身躯。“如果位面不能教给你真理，也许痛苦可以！”","211","120","0","120","消耗：$parameter1$愤怒","-1","0","0",,"480","1",,"法师史诗技能，召唤虚空中狂乱的风暴，击溃敌人的意志和身躯。“如果位面不能教给你真理，也许痛苦可以！”","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的200%。使用后虚弱休息1回合，休息状态下双防降低。","8","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的200%。使用后虚弱休息1回合，休息状态下双防降低。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的220%。使用后虚弱休息1回合，休息状态下双防降低。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的240%。使用后虚弱休息1回合，休息状态下双防降低。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的260%。使用后虚弱休息1回合，休息状态下双防降低。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的200%。使用后虚弱休息1回合，休息状态下双防降低。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的200%。使用后虚弱休息1回合，休息状态下双防降低。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的200%。使用后虚弱休息1回合，休息状态下双防降低。","最高为暴风雪伤害的200%","最高为暴风雪伤害的220%","最高为暴风雪伤害的240%","最高为暴风雪伤害的260%","最高为暴风雪伤害的260%","最高为暴风雪伤害的260%","最高为暴风雪伤害的260%","最高为暴风雪伤害的260%","1","2","3","4","5","6","7"
